epoch,phase,cls_loss,box_loss,total_loss,grad_norm_head_level2,grad_norm_neck,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_head_level1,grad_norm_head_level3,grad_norm_backbone_stage3,oom_skipped,grad_norm_backbone_stage2,grad_norm_backbone_stage1,grad_norm_head_level0,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
49,1,1.0646708684193122,0.6088260100097269,5.09853050676552,2.6613624226335175,5.809947527674163,19.0,1.4579401718982055,2.9803153330049454,6.62078227622919,72.62879097843265,16.420004552689214,0.0,13.77307390848254,3.8550808132195824,16.26156956382853,0.0,0.5,0.2482706096023321,1.0,0.0,0.4965412192046642,0.0,0.43902439024390244,0.0,1.0,0.0,0.6101694915254238,0.0,18,0,23,915,0,31
50,1,1.0301527207767642,0.5896018932800036,4.937090540254438,1.799419458601277,5.041499878251798,19.0,1.4547331969675832,3.007290183702045,3.4631541196302136,67.87580332421118,16.15907559413626,0.0,13.63876434928144,3.6914879089473907,16.99731183106337,0.0,0.5,0.27719827499240635,1.0,0.0,0.5543965499848127,0.0,0.5806451612903226,0.0,1.0,0.0,0.7346938775510204,0.0,18,0,13,325,0,31
51,1,0.9939664404939961,0.6034891363736745,5.023151761776692,1.9010337030495266,7.28951311621286,19.0,1.7088941523655259,3.654448563335595,4.332906181527719,86.91739558370773,25.679694729039394,0.0,20.67158864974253,4.667889123209898,18.93728059977883,0.0,0.152777761220932,0.03396464567631483,0.305555522441864,0.0,0.06792929135262966,0.0,0.4583333333333333,0.0,0.6111111111111112,0.0,0.5238095238095238,0.0,11,0,13,307,7,31
52,1,1.0907619659965102,0.6202609148379918,5.197337825556059,1.1944986788011136,8.16787160671053,19.0,1.884273563080376,3.709478346134886,6.936719142157596,84.82402085849382,31.30839192437365,0.0,25.08569007478468,4.996701868378452,20.9730234278597,0.0,0.5000198145353352,0.31338961820074474,1.0,3.9629070670343935e-05,0.6267752734944224,3.962907067034394e-06,0.23076923076923078,0.0011061946902654867,1.0,0.03225806451612903,0.375,0.00213903743315508,18,1,60,903,0,30
53,1,1.0106130185964946,0.6095976946321694,5.077289278442795,1.8827876938284571,6.354668072160589,19.0,1.7778179816870883,3.3137100854446557,4.400957602203251,72.7238493083963,23.938514043069052,0.0,19.039045435843594,4.455433206870469,14.469229481366478,0.0,0.5000343902611348,0.2747722516080103,1.0,6.878052226966247e-05,0.5495376251637936,6.878052226966247e-06,0.5,0.001937984496124031,1.0,0.03225806451612903,0.6666666666666666,0.0036563071297989022,18,1,18,515,0,30
54,1,0.9286346717460735,0.5726848758153014,4.759453920093742,1.8297225574714981,6.020508222807504,19.0,1.86745410356696,3.530697303731998,4.743714169125594,95.33898464724875,21.45167875811896,0.0,18.86892947091768,4.338568589311145,12.718403249761215,0.0,0.5,0.275507053732872,1.0,0.0,0.551014107465744,0.0,0.6428571428571429,0.0,1.0,0.0,0.782608695652174,0.0,18,0,10,438,0,31
55,1,0.9219665273621276,0.5611071236230232,4.669286682799056,1.0373058228896375,8.174519869469554,19.0,2.060625869263236,3.947394730185538,3.465506679056835,108.46166669470784,27.798628950511407,0.0,24.482659248427293,4.79926761051272,14.02481527020217,0.0,0.5006635944591835,0.1437377030730204,1.0,0.0013271889183670282,0.2870987728238106,0.00037663332223019096,0.6428571428571429,0.006276150627615063,1.0,0.1935483870967742,0.782608695652174,0.0121580547112462,18,6,10,950,0,25
56,1,0.8903652115448101,0.5775852980645927,4.77707236038672,1.6288971445073968,7.928150537578591,19.0,1.7229823464742378,3.52713454108034,3.924204001807527,99.08893854797023,26.28278144027974,0.0,23.537997546544073,4.315066061360099,16.568154303954483,0.0,0.5002802341477945,0.19789394027866364,1.0,0.0005604682955890894,0.3956695755943656,0.00011830496296170168,0.3673469387755102,0.005545286506469501,1.0,0.0967741935483871,0.5373134328358209,0.01048951048951049,18,3,31,538,0,28
57,1,1.0148519772935558,0.5545481916617703,4.666537387951,1.3257677071537932,7.411182318455924,19.0,1.6670858017469772,3.2780617052313543,3.325764097898573,88.60439848572827,24.643643247074476,0.0,21.839127640273972,4.152826147187211,18.07212714383121,0.0,0.45679008960723877,0.11190075348131359,0.9135801792144775,0.0,0.22380150696262718,0.0,0.7727272727272727,0.0,0.9444444444444444,0.0,0.85,0.0,17,0,5,620,1,31
58,1,1.0255806816590798,0.5890379648756336,4.930575075987223,1.6475946735629272,7.646233848514774,19.0,1.7364487329398763,3.3868123842517024,4.0356866851529976,88.17247222366758,23.4893754198587,0.0,21.746922396982317,4.428248135848486,19.023893980823203,0.0,0.5,0.21317905480973423,1.0,0.0,0.42635810961946846,0.0,0.42857142857142855,0.0,1.0,0.0,0.6,0.0,18,0,24,878,0,31
59,1,1.0261917533101261,0.5639868036315248,4.742996927854177,1.342746211270463,5.287095132967844,19.0,1.4797182693965716,3.0122263869159718,3.021794878090946,69.16734854319657,15.377847244538122,0.0,14.54848822256563,3.634843425487801,14.908343529941765,0.0,0.5,0.40016025453805926,1.0,0.0,0.8003205090761185,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,18,0,9,808,0,31
