epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_nir_stem,grad_norm_backbone_rgb_stem,grad_norm_backbone_stage3,grad_norm_fusion,grad_norm_neck,grad_norm_head_level0,steps_taken,grad_norm_head_level1,grad_norm_head_level2,grad_norm_backbone_stage1,nan_skipped,oom_skipped,grad_norm_backbone_stage0,grad_norm_backbone_stage2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
36,1,0.7764110931673566,0.4697672887831121,3.9114602224246875,1.6245523770997519,0.707429616421678,2.063534580768767,0.34332772339650824,1.0546115007870362,18.973975666635685,19.0,3.1697300715885253,58.248629245965475,2.724302965090906,0.0,0.0,4.444122353685327,3.756500886818589,0.27152177691459656,0.07049270664138022,0.3629629909992218,0.1800805628299713,0.09671775819733738,0.04426765508542303,0.4666666666666667,0.035634743875278395,0.7777777777777778,0.5925925925925926,0.5833333333333334,0.06722689075630252,14,16,16,433,4,11
37,1,0.7448361290467752,0.4345493663001705,3.631538318621146,1.100032646415925,0.8090560253298136,2.320957381379006,0.35717912811636926,0.9403661798223979,15.911435033846189,19.0,3.6430800050700274,54.69759248293973,2.4192581231108683,0.0,0.0,3.7157539812791893,3.9817458037971716,0.5332813113927841,0.08590448136965279,1.0,0.06656262278556824,0.15648148506879805,0.015327477670507506,1.0,0.0657439446366782,1.0,0.7037037037037037,1.0,0.12025316455696201,18,19,0,270,0,8
38,1,0.7531935423612595,0.4268144661107579,3.57770527375711,1.1881168685969294,0.7698854258927851,1.844306180810143,0.3550575300036277,0.9877342515130275,16.842042543205856,19.0,3.1727810206576477,52.6262749033908,2.3976768979758205,0.0,0.0,3.4469471609950033,3.7861981626325556,0.5605364292860031,0.27256690537178657,0.9739859104156494,0.1470869481563568,0.5161738943308591,0.028959916412713938,0.0273972602739726,0.0329512893982808,1.0,0.8518518518518519,0.05333333333333332,0.06344827586206896,18,23,639,675,0,4
39,1,0.7632330144579346,0.42779360570617625,3.590068552945111,1.3534185939615389,0.9086616093039929,2.014937117986482,0.38352232194437896,1.04604671348768,19.784835957397576,19.0,4.4053260812298625,58.05630405291258,2.7578819027862163,0.0,0.0,3.6033031453288578,4.0245797710180575,0.4563085585832596,0.0635415660624858,0.7759847044944763,0.13663241267204285,0.09899440509034321,0.02808872703462839,0.25757575757575757,0.02952029520295203,0.9444444444444444,0.8888888888888888,0.4047619047619047,0.05714285714285714,17,24,49,789,1,3
40,1,0.7444425474953007,0.4310577644689663,3.605154504647126,1.1817063541617217,0.8338604079069544,1.5790781345550216,0.3070739905220145,0.963359411004571,17.05906828763257,19.0,4.18760046730803,50.72026379900426,2.460649471498884,0.0,0.0,3.271508862672903,4.0232508575227115,0.586527943611145,0.31864453940070236,1.0,0.17305588722229004,0.5947095178067684,0.042579560994636265,0.29508196721311475,0.04721030042918455,1.0,0.8148148148148148,0.4556962025316456,0.08924949290060853,18,22,43,444,0,5
41,1,0.7300524284710755,0.41579477005713694,3.4834869922818363,1.474018157275636,0.8963965291087598,2.1836483184492663,0.38814903550405744,1.2561467252702283,17.969705385111507,19.0,4.693736990574365,71.1037437607279,2.915033481108294,0.0,0.0,3.7166052050770704,4.700208199349296,0.5325901098549366,0.19381704131374136,1.0,0.0651802197098732,0.3740323852747679,0.013601697352714836,1.0,0.05517241379310345,1.0,0.5925925925925926,1.0,0.10094637223974763,18,16,0,274,0,11
42,1,0.7316931800262348,0.42178562243242523,3.529238770136962,1.6010735174012893,1.080383818469139,2.6088148253846275,0.5009264153283631,1.2966477564472763,18.08587255469748,19.0,5.045030971100166,71.35275035010396,3.225140882170972,0.0,0.0,4.191176067755819,4.821270588476901,0.1538970284163952,0.039235701831057665,0.24179455637931824,0.06599950045347214,0.06670468873344362,0.011766714928671717,0.125,0.06870229007633588,1.0,0.6666666666666666,0.2222222222222222,0.12456747404844291,18,18,126,244,0,9
43,1,0.7586941356594498,0.4363396961141277,3.651894785262443,1.5922866303268677,1.0293510461380515,2.672883881189552,0.46535902646560984,1.214582069833952,19.381767927859812,19.0,4.424843440841664,67.87144041277696,3.005109244620442,0.0,0.0,3.937937490754728,4.7073721147529195,0.5394567809998989,0.12137156584431068,1.0,0.07891356199979782,0.22856341823935508,0.014179713449266274,0.8571428571428571,0.03163444639718805,1.0,0.6666666666666666,0.923076923076923,0.06040268456375839,18,18,3,551,0,9
44,1,0.7563573182434649,0.43333696392742366,3.628205885758271,1.4733544993264474,0.7888859143918783,1.5196046308713937,0.3200626621109566,1.014064528399721,15.60572464675032,19.0,2.4449088966774197,61.989270460298506,2.436157415116514,0.0,0.0,3.4543601279493146,3.5566379454942822,0.521255262196064,0.13149805094581096,1.0,0.04251052439212799,0.25199645990505815,0.010999641986563802,0.4090909090909091,0.037900874635568516,1.0,0.48148148148148145,0.5806451612903226,0.07027027027027027,18,13,26,330,0,14
45,1,0.7780428375746753,0.4215481559167037,3.5506325992378027,1.36157213260412,0.9403269974712177,1.7517332187285657,0.32993686647962506,1.0753127429284133,15.96899840969317,19.0,2.736870976707024,68.91021088361701,2.551971321826268,0.0,0.0,3.444436052707614,3.95654637344937,0.5377539396286011,0.3228793332236819,0.9944444894790649,0.08106338977813721,0.6262286276556551,0.01953003879170865,0.1978021978021978,0.06451612903225806,1.0,0.5925925925925926,0.3302752293577982,0.11636363636363638,18,16,73,232,0,11
