epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
44,1,0.8286110460758209,0.43923823369873893,3.708592308892144,0.19362373277544975,0.06342835598770762,0.35881227254867554,0.02843519300222397,0.1215917639899999,0.005264947985415347,0.02425876010781671,0.015051740357478834,1.0,0.5925925925925926,0.047368421052631574,0.02935779816513762,18,16,724,1047,0,11
45,1,0.8104328281349606,0.419362540046374,3.55043543709649,0.1785478973761201,0.07021013477278756,0.3400845527648926,0.017011241987347603,0.13644602065905928,0.003974248886515852,0.023746701846965697,0.01891891891891892,1.0,0.5185185185185185,0.04639175257731958,0.036505867014341595,18,14,740,726,0,13
46,1,0.8401080833541023,0.44697382549444836,3.7723577552371554,0.1903075259178877,0.0997719059640076,0.321683406829834,0.05893164500594139,0.18908702514017933,0.01045678678783588,0.02666666666666667,0.020497803806734993,1.0,0.5185185185185185,0.05194805194805195,0.039436619718309855,18,14,657,669,0,13
47,1,0.8015706274244521,0.412506823738416,3.4945864942338734,0.24538606591522694,0.13769944222440245,0.45105814933776855,0.03971398249268532,0.26432936564087867,0.011069518807926216,0.032846715328467155,0.016564952048823016,1.0,0.7037037037037037,0.06360424028268552,0.03236797274275979,18,19,530,1128,0,8
48,1,0.8493929902712504,0.4158724877569411,3.5437401798036365,0.08399937255308032,0.03330044249960338,0.16167929768562317,0.006319447420537472,0.06473727711709217,0.001863607882114593,0.02459016393442623,0.013651877133105802,1.0,0.2962962962962963,0.048,0.026101141924959218,18,8,714,578,0,19
49,1,0.8306547171539731,0.38697871069113415,3.317667696211073,0.19826779887080193,0.09987847624579445,0.3720666468143463,0.024468950927257538,0.19525239861104637,0.004504553880542517,0.028391167192429023,0.017382413087934562,1.0,0.6296296296296297,0.05521472392638037,0.03383084577114428,18,17,616,961,0,10
50,1,0.7916125820742713,0.38345446851518417,3.271714793311225,0.09172102622687817,0.041160625143675134,0.16628962755203247,0.01715242490172386,0.07730068940436467,0.005020560882985592,0.02368421052631579,0.015132408575031526,1.0,0.4444444444444444,0.04627249357326479,0.02926829268292683,18,12,742,781,0,15
51,1,0.8591141667630937,0.4058985726700889,3.4737963808907404,0.21356176771223545,0.09026936410082272,0.40709537267684937,0.020028162747621536,0.17636038013733923,0.0041783480643061924,0.02214022140221402,0.013654618473895583,1.0,0.6296296296296297,0.04332129963898917,0.026729559748427674,18,17,795,1228,0,10
52,1,0.8235952821042802,0.39117693569925094,3.3456246852874756,0.16709106788039207,0.09210540589992888,0.3189253509044647,0.015256784856319427,0.1794160023331642,0.004794809466693551,0.04864864864864865,0.017475728155339806,1.0,0.3333333333333333,0.09278350515463918,0.033210332103321034,18,9,352,506,0,18
53,1,0.7877928813298544,0.40523355040285325,3.433148079448276,0.14877893961966038,0.05944902836599795,0.2807903289794922,0.016767550259828568,0.11466018846258522,0.004237868269410683,0.024390243902439025,0.013349514563106795,1.0,0.4074074074074074,0.047619047619047616,0.025851938895417155,18,11,720,813,0,16
54,1,0.7750372621748183,0.3768128901720047,3.2136152850257025,0.24093357287347317,0.11617238013386669,0.46056532859802246,0.021301817148923874,0.22781373331090435,0.00453102695682901,0.023778071334214,0.014505119453924915,1.0,0.6296296296296297,0.04645161290322581,0.02835696413678065,18,17,739,1155,0,10
55,1,0.7661492261621687,0.36677755581008065,3.133906298213535,0.20606950484216213,0.08535124754416756,0.3898761570453644,0.022262852638959885,0.16584358897525817,0.004858906113076955,0.023872679045092837,0.014130434782608696,1.0,0.48148148148148145,0.0466321243523316,0.027455121436114043,18,13,736,907,0,14
56,1,0.771240297291014,0.3823324657148785,3.2531136406792536,0.20388266164809465,0.10869912924972595,0.37736546993255615,0.030399853363633156,0.21014943197369576,0.007248826525756158,0.022641509433962263,0.01393188854489164,1.0,0.6666666666666666,0.04428044280442804,0.027293404094010612,18,18,777,1274,0,9
57,1,0.7835399409135183,0.3735465026564068,3.1933687130610147,0.2194093931466341,0.11750217551671086,0.4177682399749756,0.021050546318292618,0.23061174924951047,0.004392601783911232,0.026392961876832845,0.01399825021872266,1.0,0.5925925925925926,0.051428571428571435,0.02735042735042735,18,16,664,1127,0,11
58,1,0.7780025369591184,0.3704015546374851,3.167012929916382,0.1760441567748785,0.09095189509898774,0.33099496364593506,0.021093349903821945,0.17663888484530615,0.005264905352669302,0.022167487684729065,0.012520868113522538,1.0,0.5555555555555556,0.043373493975903614,0.02448979591836735,18,15,794,1183,0,12
59,1,0.7371004157596164,0.36489517821205986,3.105264041158888,0.223628968000412,0.12129260626861652,0.4161538779735565,0.031104058027267456,0.23644648818299174,0.006138724354241276,0.02706766917293233,0.015180265654648957,1.0,0.5925925925925926,0.0527086383601757,0.029602220166512493,18,16,647,1038,0,11
60,1,0.7429156601428986,0.3662181231710646,3.1180937687555947,0.2327441554516554,0.10570128893032234,0.42988908290863037,0.035599227994680405,0.20409448547288775,0.007308092387756915,0.0288,0.01520086862106406,1.0,0.5185185185185185,0.055987558320373255,0.029535864978902957,18,14,607,907,0,13
61,1,0.7208537293805016,0.3563918752802743,3.03336591190762,0.2502023056149483,0.1297901412079227,0.47609269618988037,0.024311915040016174,0.25308444276452063,0.006495839651324786,0.024096385542168676,0.014705882352941176,1.0,0.48148148148148145,0.047058823529411764,0.02854006586169045,18,13,729,871,0,14
62,1,0.7371537884076437,0.36421476470099556,3.1001876062817044,0.21933632157742977,0.1373583776169653,0.4096815884113312,0.028991054743528366,0.2656128265894949,0.009103928644435655,0.02356020942408377,0.013636363636363636,1.0,0.6666666666666666,0.04603580562659846,0.026726057906458798,18,18,746,1302,0,9
63,1,0.7591022054354349,0.3751351982355118,3.193065126736959,0.23180903494358063,0.13241202367935329,0.42900964617729187,0.034608423709869385,0.2566620739176869,0.008161973441019654,0.024423337856173677,0.01581395348837209,1.0,0.6296296296296297,0.04768211920529801,0.0308529945553539,18,17,719,1058,0,10
64,1,0.7523984975285001,0.37617702616585624,3.1975269317626953,0.256278270855546,0.1290041022330115,0.4740629196166992,0.038493622094392776,0.24768961605150253,0.010318588414520491,0.024226110363391656,0.014311270125223614,1.0,0.5925925925925926,0.04730617608409987,0.02794759825327511,18,16,725,1102,0,11
65,1,0.7568586932288276,0.3632674134439892,3.102934956550598,0.22767357155680656,0.13131822595969425,0.42628344893455505,0.029063694179058075,0.2540936556644738,0.00854279625491472,0.02219482120838471,0.016008537886873,1.0,0.5555555555555556,0.04342581423401689,0.03112033195020747,18,15,793,922,0,12
66,1,0.7293787433041466,0.36788303818967605,3.1238121456570096,0.2305451426655054,0.12566159802590846,0.4273744523525238,0.033715832978487015,0.24193016884382815,0.00939302720798878,0.024861878453038673,0.015639374425023,1.0,0.6296296296296297,0.048517520215633415,0.03052064631956912,18,17,706,1070,0,10
67,1,0.7225324147277408,0.369330538643731,3.131245255470276,0.24146831408143044,0.12429547104256926,0.4407799243927002,0.042156703770160675,0.23757702736184,0.011013914723298513,0.02556818181818182,0.014492753623188406,1.0,0.5925925925925926,0.04986149584487535,0.028293545534924847,18,16,686,1088,0,11
68,1,0.7399867938624488,0.3781881713204914,3.2064046462376914,0.24281418323516846,0.15000670444096614,0.4461781084537506,0.039450258016586304,0.2870896624401212,0.012923746441811091,0.023809523809523808,0.01607142857142857,1.0,0.6666666666666666,0.046511627906976744,0.031386224934612024,18,18,738,1102,0,9
69,1,0.734674698776669,0.3770861145522859,3.1954832209481134,0.2420493308454752,0.14414344795877695,0.4384812116622925,0.04561745002865791,0.274538316950202,0.013748578967351932,0.024096385542168676,0.012957317073170731,1.0,0.6296296296296297,0.047058823529411764,0.02539208364451083,18,17,729,1295,0,10
70,1,0.7046796811951531,0.34654227726989323,2.9514069159825644,0.23978332057595253,0.14089535541424994,0.4382427930831909,0.04132384806871414,0.27154649002477527,0.010244220803724603,0.024291497975708502,0.01555352241537054,1.0,0.6296296296296297,0.04743083003952569,0.030357142857142857,18,17,723,1076,0,10
71,1,0.750375833776262,0.3568974948591656,3.0519191291597156,0.24657462164759636,0.1419863001210615,0.42806580662727356,0.06508343666791916,0.270618859824026,0.013353740418097004,0.02356020942408377,0.014617368873602751,1.0,0.6296296296296297,0.04603580562659846,0.028571428571428574,18,17,746,1146,0,10
72,1,0.7438475059138404,0.36119823157787323,3.0809105104870267,0.24904537200927734,0.12970480859803502,0.4577478766441345,0.040342867374420166,0.24810384036973118,0.011305776826338843,0.02390438247011952,0.013578274760383386,1.0,0.6296296296296297,0.04669260700389105,0.026583268178264265,18,17,735,1235,0,10
73,1,0.7381008797221713,0.3547647562291887,3.0297861099243164,0.24158772081136703,0.14849675348905295,0.43581098318099976,0.047364458441734314,0.2839876384474337,0.01300586853067216,0.02482758620689655,0.01433389544688027,1.0,0.6296296296296297,0.04845222072678331,0.028029678483099753,18,17,707,1169,0,10
74,1,0.7329437467787001,0.36682606240113574,3.1176673571268716,0.2367250770330429,0.13311160980447312,0.431335985660553,0.04211416840553284,0.25415855972096324,0.012064659887982998,0.024657534246575342,0.014912280701754385,1.0,0.6296296296296297,0.0481283422459893,0.029134532990574117,18,17,712,1123,0,10
75,1,0.7041176557540894,0.3644841925965415,3.085690246687995,0.24034804478287697,0.1372483178623952,0.4341442286968231,0.04655186086893082,0.2625927245710045,0.011903911153785885,0.02435723951285521,0.014592274678111588,1.0,0.6296296296296297,0.047556142668428,0.028523489932885907,18,17,721,1148,0,10
76,1,0.7286061843236288,0.36646637982792324,3.112800942526923,0.24258685111999512,0.1441145294564194,0.437239408493042,0.04793429374694824,0.2759605521976482,0.012268506715190596,0.024489795918367346,0.014517506404782237,1.0,0.6296296296296297,0.047808764940239036,0.028380634390651083,18,17,717,1154,0,10
77,1,0.7423707975281609,0.37151695953475106,3.157562600241767,0.24974211305379868,0.13884397631773027,0.4515638053417206,0.04792042076587677,0.266073516337201,0.011614436298259534,0.024423337856173677,0.01486013986013986,1.0,0.6296296296296297,0.04768211920529801,0.029035012809564473,18,17,719,1127,0,10
78,1,0.722947832610872,0.3537359486023585,3.0144934919145374,0.24904767237603664,0.13849741120939144,0.4503451883792877,0.04775015637278557,0.26523802587762474,0.01175679654115811,0.024324324324324326,0.014782608695652174,1.0,0.6296296296296297,0.0474934036939314,0.02888700084961767,18,17,722,1133,0,10
79,1,0.7284178204006619,0.36370104716883767,3.09196674823761,0.24231561459600925,0.1417434147129825,0.4371141195297241,0.04751710966229439,0.26982345354335846,0.013663375882606488,0.025139664804469275,0.014899211218229623,1.0,0.6296296296296297,0.04904632152588556,0.02910958904109589,18,17,698,1124,0,10
80,1,0.7236419353220198,0.35351409018039703,3.0131766663657293,0.23824085295200348,0.1379253296094248,0.435024231672287,0.04145747423171997,0.26466909386217596,0.011181565356673672,0.024226110363391656,0.014505119453924915,1.0,0.6296296296296297,0.04730617608409987,0.02835696413678065,18,17,725,1155,0,10
81,2,0.7387460304631127,0.376792644460996,3.1953178379270764,0.18501014076173306,0.1253606753973145,0.3367312550544739,0.03328902646899223,0.2406697541475296,0.01005159664709936,0.02975206611570248,0.01443298969072165,1.0,0.5185185185185185,0.05778491171749599,0.02808425275827483,18,14,587,956,0,13
82,2,0.7780722313457065,0.35997573369079167,3.0888541407055325,0.19302778132259846,0.08860048841652315,0.32433515787124634,0.06172040477395058,0.16144732993561775,0.01575364689742855,0.026627218934911243,0.0146484375,1.0,0.5555555555555556,0.05187319884726225,0.028544243577545196,18,15,658,1009,0,12
83,2,0.7601033482286665,0.368521629108323,3.1439638800091214,0.12016071379184723,0.05412977186024363,0.17351680994033813,0.06680461764335632,0.08652340829939931,0.021736135421087967,0.022167487684729065,0.015567765567765568,1.0,0.6296296296296297,0.043373493975903614,0.03038427167113494,18,17,794,1075,0,10
84,2,0.7632624043358697,0.36131654183069867,3.091505249341329,0.16468788497149944,0.09106360111727554,0.2931991219520569,0.036176647990942,0.17512441202197807,0.007002790212573018,0.022004889975550123,0.012440191387559809,1.0,0.48148148148148145,0.0430622009569378,0.024253731343283583,18,13,800,1032,0,14
